year,GMSL,error
1870.0417  , -75.61   , 22.19
1870.1250  , -75.68   , 22.19
1870.2083  , -74.13   , 22.19
1870.2917  , -74.06   , 22.19
1870.3750  , -73.23   , 22.19
1870.4583  , -74.47   , 22.19
1870.5417  , -72.76   , 22.19
1870.6250  , -70.71   , 22.19
1870.7083  , -71.18   , 22.19
1870.7917  , -70.77   , 22.19
1870.8750  , -78.15   , 22.19
1870.9583  , -81.73   , 22.19
1871.0417  , -86.35   , 22.19
1871.1250  , -82.06   , 22.19
1871.2083  , -78.42   , 22.19
1871.2917  , -72.57   , 22.19
1871.3750  , -72.59   , 22.19
1871.4583  , -71.52   , 22.19
1871.5417  , -71.57   , 22.19
1871.6250  , -74.75   , 22.19
1871.7083  , -76.29   , 22.19
1871.7917  , -82.41   , 22.19
1871.8750  , -80.74   , 22.19
1871.9583  , -79.35   , 22.19
1872.0417  , -70.77   , 22.19
1872.1250  , -69.31   , 22.10
1872.2083  , -69.43   , 22.10
1872.2917  , -72.52   , 22.10
1872.3750  , -71.64   , 22.10
1872.4583  , -70.57   , 22.10
1872.5417  , -68.65   , 22.10
1872.6250  , -68.91   , 22.10
1872.7083  , -68.18   , 22.10
1872.7917  , -67.50   , 22.10
1872.8750  , -65.06   , 22.10
1872.9583  , -65.06   , 22.10
1873.0417  , -65.93   , 22.10
1873.1250  , -75.45   , 22.10
1873.2083  , -79.28   , 22.10
1873.2917  , -81.03   , 22.10
1873.3750  , -77.37   , 22.10
1873.4583  , -74.21   , 22.10
1873.5417  , -71.23   , 22.10
1873.6250  , -69.82   , 22.10
1873.7083  , -70.94   , 22.10
1873.7917  , -69.11   , 22.10
1873.8750  , -69.90   , 22.10
1873.9583  , -68.27   , 22.10
1874.0417  , -71.27   , 22.10
1874.1250  , -75.70   , 22.10
1874.2083  , -80.13   , 22.10
1874.2917  , -77.63   , 22.10
1874.3750  , -75.97   , 22.10
1874.4583  , -72.70   , 22.19
1874.5417  , -71.57   , 22.19
1874.6250  , -69.80   , 22.19
1874.7083  , -69.24   , 22.19
1874.7917  , -71.77   , 22.19
1874.8750  , -75.43   , 22.19
1874.9583  , -81.00   , 22.19
1875.0417  , -80.37   , 22.19
1875.1250  , -85.08   , 22.19
1875.2083  , -84.15   , 22.19
1875.2917  , -81.86   , 22.19
1875.3750  , -78.23   , 22.10
1875.4583  , -74.34   , 22.10
1875.5417  , -73.51   , 22.10
1875.6250  , -73.00   , 22.10
1875.7083  , -73.88   , 22.10
1875.7917  , -74.98   , 22.10
1875.8750  , -77.97   , 22.10
1875.9583  , -78.52   , 22.10
1876.0417  , -77.44   , 22.10
1876.1250  , -69.23   , 22.10
1876.2083  , -64.49   , 22.10
1876.2917  , -66.78   , 22.10
1876.3750  , -70.83   , 22.10
1876.4583  , -69.74   , 22.10
1876.5417  , -66.32   , 22.10
1876.6250  , -63.58   , 22.10
1876.7083  , -61.22   , 22.10
1876.7917  , -61.87   , 22.10
1876.8750  , -58.24   , 22.10
1876.9583  , -56.85   , 22.10
1877.0417  , -55.97   , 22.10
1877.1250  , -56.67   , 22.10
1877.2083  , -57.77   , 22.10
1877.2917  , -57.72   , 22.10
1877.3750  , -57.63   , 22.10
1877.4583  , -55.43   , 22.10
1877.5417  , -54.55   , 22.10
1877.6250  , -54.05   , 22.10
1877.7083  , -54.76   , 22.10
1877.7917  , -54.83   , 22.10
1877.8750  , -52.07   , 22.10
1877.9583  , -53.42   , 22.10
1878.0417  , -50.87   , 22.10
1878.1250  , -48.12   , 22.10
1878.2083  , -45.44   , 22.10
1878.2917  , -44.29   , 22.10
1878.3750  , -45.76   , 22.10
1878.4583  , -48.27   , 22.10
1878.5417  , -53.44   , 22.10
1878.6250  , -54.90   , 22.10
1878.7083  , -59.66   , 22.10
1878.7917  , -61.86   , 22.10
1878.8750  , -68.54   , 22.10
1878.9583  , -66.26   , 22.81
1879.0417  , -69.25   , 22.81
1879.1250  , -62.05   , 22.81
1879.2083  , -63.03   , 21.49
1879.2917  , -56.53   , 21.49
1879.3750  , -59.46   , 21.49
1879.4583  , -54.60   , 21.49
1879.5417  , -57.87   , 21.49
1879.6250  , -60.50   , 21.49
1879.7083  , -67.62   , 21.49
1879.7917  , -75.07   , 21.49
1879.8750  , -82.80   , 21.49
1879.9583  , -83.67   , 21.49
1880.0417  , -83.14   , 21.49
1880.1250  , -72.65   , 21.49
1880.2083  , -70.08   , 21.49
1880.2917  , -63.87   , 21.49
1880.3750  , -64.13   , 21.49
1880.4583  , -61.77   , 21.49
1880.5417  , -61.80   , 21.49
1880.6250  , -63.09   , 21.49
1880.7083  , -63.82   , 21.49
1880.7917  , -61.14   , 21.49
1880.8750  , -60.27   , 21.49
1880.9583  , -56.46   , 21.49
1881.0417  , -58.29   , 21.49
1881.1250  , -58.91   , 21.49
1881.2083  , -59.33   , 21.49
1881.2917  , -59.28   , 21.49
1881.3750  , -58.69   , 21.49
1881.4583  , -57.38   , 21.39
1881.5417  , -56.43   , 21.39
1881.6250  , -58.49   , 21.39
1881.7083  , -62.60   , 21.39
1881.7917  , -66.90   , 21.39
1881.8750  , -69.03   , 21.39
1881.9583  , -72.24   , 21.39
1882.0417  , -73.57   , 19.51
1882.1250  , -73.55   , 19.51
1882.2083  , -68.82   , 19.51
1882.2917  , -68.86   , 19.51
1882.3750  , -66.73   , 19.51
1882.4583  , -71.55   , 19.51
1882.5417  , -70.60   , 19.51
1882.6250  , -73.37   , 19.51
1882.7083  , -73.85   , 19.51
1882.7917  , -80.10   , 19.51
1882.8750  , -82.63   , 19.51
1882.9583  , -84.79   , 19.56
1883.0417  , -81.69   , 19.47
1883.1250  , -78.46   , 19.47
1883.2083  , -72.86   , 19.47
1883.2917  , -70.93   , 19.47
1883.3750  , -67.16   , 19.47
1883.4583  , -68.80   , 19.47
1883.5417  , -72.45   , 19.47
1883.6250  , -73.34   , 19.47
1883.7083  , -76.71   , 19.47
1883.7917  , -74.14   , 19.47
1883.8750  , -70.67   , 19.47
1883.9583  , -65.27   , 19.47
1884.0417  , -61.93   , 19.08
1884.1250  , -59.87   , 19.08
1884.2083  , -59.42   , 19.08
1884.2917  , -52.88   , 19.08
1884.3750  , -55.08   , 19.08
1884.4583  , -53.33   , 19.08
1884.5417  , -61.02   , 19.08
1884.6250  , -61.53   , 19.08
